pdf,page,country,hs_code,description
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701,"Potatoes, fresh or chilled: Seed"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.10.00,"Potatoes, fresh or chilled: Seed"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90,"Potatoes, fresh or chilled: Seed In immediate containers of not over 45 kg net weight"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.10,"Potatoes, fresh or chilled: Seed In immediate containers of not over 45 kg net weight Other"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,,0701.90.50,"Potatoes, fresh or chilled: Seed In immediate containers of not over 45 kg net weight Yellow (Solano) potatoes"
