pdf,page,hs_code,description
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,0701,"Potatoes, fresh or chilled: Seed"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,0701.10.00,"Potatoes, fresh or chilled: Seed"
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,0701.90,In immediate containers of not over 45 kg net weight
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,0701.90.10,Other
HS Code/country specific/Chapter 7_2025HTSRev32.pdf,2,0701.90.50,Yellow (Solano) potatoes
